timecode,story,scene (overall),scene (order),scene (chron),transition type,transition notes,JS,BW,HB,JB,DB,TH,HG,HW,SS,KD,JD,ZX,DG,Audio Type,Audio Source,Description,Notes
2:34:28:23,5,240,1,29,,,,,x,,,,,,,,x,,,,,“i believe death is only a door.”,"“when it closes, another opens. if i care to imagine heaven, i would imagine a door opening.”"
2:35:03:22,1,241,20,20,v.o.+actors,DB+JS (re)unite,x,,,,x,,,,,,,,x,,,"“and behind it i would find him there,”",“waiting for me.”; this is one of the more beautiful tricks this film pulls.
2:35:33:21,5,242,1,29,actor,DB,,,,,x,,,,,,x,,,,,“someone already does.”,this timeline is mostly resolved; the last to do so.
2:36:33:10,1,243,21,21,,,x,,,,,,,x,,,,,,,,ewing burns the slave contract, 
2:37:35:17,3,244,19,19,,,,,x,,,,,,,,,,c,,,luisa and javier celebrate,
2:37:51:14,4,245,1,22,,,,,,x,,,,,x,,,,,,,cavendish writes up his “ordeal”,second reference to solzhenitsyn; final bit of dénouement to commence
2:38:19:02,1,246,21,21,,,x,,,,x,,,x,,,,,,,,ewing and tilde declare their intentions,"“there is a natural order to this world, and those who try to upend it do not fare well.”; HW tries to get between the couple (blocking)"
2:39:30:09,5,247,30,30,v.o.+actor,DB,,,,,x,,,x,,,,,,,,sonmi meets her fate,“this movement will never survive.”
2:40:00:04,1,248,21,21,actor,DB,x,,,,x,,,x,,,,,,,,“what is an ocean but a multitude of drops?”,the key line of the film
2:40:31:18,6,249,27,26,,,,,x,,,x,,,,,,,,,,the coda,
2:42:20:20,n/a,,,alt,,,,,,,,,,,,,,,,,,end credits,
